STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3126;18810516;-999;-999;-999;    1;   1.1;   1;-999;-999;   4.3;   9.6;  996.90;   17.4;   44.00;   25.5;   10.8;-999;eor
       3126;18810517;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.0;   8.1; 1008.70;   10.6;   64.00;   14.6;    8.2;-999;eor
       3126;18810518;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.3;  10.8; 1004.10;   15.3;   53.00;   22.5;    6.4;-999;eor
       3126;18810519;-999;-999;-999;    1;   0.3;   1;-999;-999;   5.7;  12.8; 1003.00;   17.1;   59.00;   24.0;   10.6;-999;eor
       3126;18810520;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.7;  14.0; 1009.80;   15.8;   78.00;   19.0;   13.7;-999;eor
       3126;18810521;-999;-999;-999;    1;   0.0;   0;-999;-999;   5.3;  12.8; 1018.30;   15.1;   69.00;   20.4;   10.3;-999;eor
       3126;18810522;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.0;  12.4; 1024.60;   14.7;   65.00;   21.7;    6.8;-999;eor
       3126;18810523;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.7;  11.3; 1021.90;   14.0;   62.00;   21.2;    6.8;-999;eor
       3126;18810524;-999;-999;-999;    1;   1.0;   1;-999;-999;   7.0;  13.1; 1014.80;   13.1;   80.00;   17.2;    8.2;-999;eor
       3126;18810525;-999;-999;-999;    1;  11.9;   1;-999;-999;   6.3;  17.9; 1008.80;   18.8;   78.00;   26.2;   13.8;-999;eor
       3126;18810526;-999;-999;-999;    1;   5.2;   1;-999;-999;   6.0;  18.4; 1004.30;   19.2;   88.00;   25.7;   15.5;-999;eor
       3126;18810527;-999;-999;-999;    1;   1.7;   1;-999;-999;   7.0;  18.5; 1000.50;   18.3;   82.00;   26.2;   12.8;-999;eor
       3126;18810528;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.0;  14.4; 1004.80;   18.1;   67.00;   22.7;   15.2;-999;eor
       3126;18810529;-999;-999;-999;    1;   0.0;   0;-999;-999;   0.7;  11.6; 1013.10;   12.5;   68.00;   21.3;    3.5;-999;eor
       3126;18810530;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.0;   8.3; 1017.80;   13.5;   47.00;   22.2;    4.0;-999;eor
       3126;18810531;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.0;  10.4; 1016.00;   18.9;   45.00;   24.2;   14.2;-999;eor
       3126;18810601;-999;-999;-999;    1;   0.0;   0;-999;-999;   2.7;  12.7; 1011.60;   17.6;   60.00;   24.3;   11.5;-999;eor
       3126;18810602;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.3;  14.4; 1010.80;   15.9;   75.00;   20.3;   11.2;-999;eor
       3126;18810603;-999;-999;-999;    1;   0.0;   0;-999;-999;   1.3;  14.4; 1009.10;   18.7;   62.00;   23.6;   12.8;-999;eor
       3126;18810604;-999;-999;-999;    1;   0.1;   1;-999;-999;   1.7;  12.0; 1007.60;   19.0;   49.00;   25.8;   12.0;-999;eor
       3126;18810605;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.7;  13.7;  998.60;   21.9;   48.00;   29.4;   14.5;-999;eor
       3126;18810606;-999;-999;-999;    1;   7.2;   1;-999;-999;   6.0;  14.3;  988.30;   21.4;   54.00;   27.9;   15.8;-999;eor
       3126;18810607;-999;-999;-999;    1;   2.0;   1;-999;-999;   7.3;   9.9;  993.40;   13.8;   71.00;   21.9;   10.3;-999;eor
       3126;18810608;-999;-999;-999;    1;   1.7;   1;-999;-999;   8.0;   9.3;  997.00;   10.5;   72.00;   13.0;    8.5;-999;eor
       3126;18810609;-999;-999;-999;    1;   0.8;   1;-999;-999;   5.3;   8.0; 1003.10;   10.3;   61.00;   14.3;    6.5;-999;eor
       3126;18810610;-999;-999;-999;    1;   3.2;   1;-999;-999;   6.3;   7.1; 1005.90;    9.6;   58.00;   12.9;    6.9;-999;eor
       3126;18810611;-999;-999;-999;    1;   2.4;   1;-999;-999;   8.0;   8.5; 1005.70;    8.0;   80.00;   10.0;    6.5;-999;eor
       3126;18810612;-999;-999;-999;    1;   3.1;   1;-999;-999;   7.0;   9.2; 1008.00;    9.2;   78.00;   11.8;    6.5;-999;eor
       3126;18810613;-999;-999;-999;    1;   0.3;   1;-999;-999;   8.0;  11.5; 1006.70;   10.3;   85.00;   15.0;    5.0;-999;eor
       3126;18810614;-999;-999;-999;    1;   0.0;   0;-999;-999;   7.3;  11.1; 1008.80;   11.5;   81.00;   14.7;    8.8;-999;eor
       3126;18810615;-999;-999;-999;    1;   0.0;   0;-999;-999;   6.0;  11.2; 1009.00;   12.2;   77.00;   14.8;    9.5;-999;eor
       3126;18810616;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.7;  11.6; 1010.10;   15.3;   62.00;   20.5;    8.7;-999;eor
       3126;18810617;-999;-999;-999;    1;   0.0;   0;-999;-999;   3.3;  11.2; 1011.50;   15.8;   56.00;   21.7;    8.3;-999;eor
       3126;18810618;-999;-999;-999;    1;   9.7;   1;-999;-999;   2.3;  12.5; 1009.20;   17.8;   54.00;   24.8;    9.3;-999;eor
       3126;18810619;-999;-999;-999;    1;   6.4;   1;-999;-999;   7.3;  14.5; 1003.50;   16.1;   84.00;   20.8;   11.8;-999;eor
       3126;18810620;-999;-999;-999;    1;   0.0;   0;-999;-999;   4.3;  16.4; 1006.70;   18.3;   80.00;   23.3;   13.7;-999;eor
       3126;18810621;-999;-999;-999;    1;   9.1;   1;-999;-999;   6.0;  18.7; 1004.80;   21.2;   67.00;   29.2;   13.3;-999;eor
       3126;18810622;-999;-999;-999;    1;   2.6;   1;-999;-999;   3.3;  19.6; 1004.60;   23.5;   65.00;   33.3;   16.6;-999;eor
       3126;18810623;-999;-999;-999;    1;   0.9;   1;-999;-999;   5.7;  16.4; 1013.00;   20.1;   68.00;   24.3;   17.3;-999;eor
